notation,years_present,n,p_diss,p_total,suggested_fraction
111,11,111976,0.0,0.0,unspecified
76,11,96147,0.0,0.0,unspecified
61,11,95073,0.0,0.0,unspecified
85,11,94206,0.0,0.0,unspecified
135,11,87370,0.0,0.0,unspecified
118,11,83138,0.0,0.0,unspecified
117,11,77319,0.0,0.0,unspecified
9901,11,72663,1.0,0.0,dissolved
116,11,69008,0.0,1.0,total
180,11,68467,0.0,0.0,unspecified
77,11,65968,0.0,0.0,unspecified
9924,11,62964,1.0,0.0,dissolved
162,11,54846,0.0,0.0,unspecified
119,11,47576,0.0,0.0,unspecified
348,11,41151,0.0,1.0,total
92,11,40599,0.0,0.0,unspecified
172,11,28709,0.0,0.0,unspecified
301,11,25550,1.0,0.0,dissolved
7608,11,21799,0.0,0.0,unspecified
6460,11,21381,1.0,0.0,dissolved
6051,11,20230,0.0,0.0,unspecified
3410,11,20124,1.0,0.0,dissolved
52,11,19958,1.0,0.0,dissolved
106,11,19641,1.0,0.0,dissolved
3408,11,19449,1.0,0.0,dissolved
9686,11,19430,0.0,1.0,total
6450,11,18945,1.0,0.0,dissolved
239,11,18666,1.0,0.0,dissolved
235,11,16655,1.0,0.0,dissolved
2348,11,16595,0.0,0.0,unspecified
3722,11,16180,0.0,0.0,unspecified
3723,11,14633,0.0,0.0,unspecified
3409,11,14627,1.0,0.0,dissolved
182,11,14097,0.0,0.0,unspecified
6455,11,14057,0.0,0.0,unspecified
6458,11,13946,1.0,0.0,dissolved
6452,11,13518,0.0,0.0,unspecified
108,11,12878,0.0,0.0,unspecified
50,11,12291,0.0,0.0,unspecified
192,11,12271,0.0,0.0,unspecified
114,11,11795,0.0,0.0,unspecified
6462,11,11750,0.0,0.0,unspecified
7887,11,11294,0.0,0.0,unspecified
158,11,11102,0.0,1.0,total
4865,11,10969,1.0,0.0,dissolved
113,11,10755,0.0,0.0,unspecified
209,11,10729,1.0,0.0,dissolved
6057,11,10714,0.0,0.0,unspecified
205,11,10681,1.0,0.0,dissolved
9447,11,10556,1.0,0.0,dissolved
4823,11,10433,0.0,0.0,unspecified
4826,11,10433,0.0,0.0,unspecified
4824,11,10432,0.0,0.0,unspecified
4827,11,10432,0.0,0.0,unspecified
9156,11,10427,0.0,0.0,unspecified
8046,11,10422,0.0,0.0,unspecified
9691,11,10422,0.0,0.0,unspecified
9161,11,10420,0.0,0.0,unspecified
6037,11,9898,1.0,0.0,dissolved
9446,11,9337,1.0,0.0,dissolved
6693,11,9331,1.0,0.0,dissolved
4201,11,9300,1.0,0.0,dissolved
183,11,9229,0.0,0.0,unspecified
7859,11,9127,1.0,0.0,dissolved
9856,11,8983,1.0,0.0,dissolved
3164,11,8577,0.0,0.0,unspecified
6050,11,8364,0.0,0.0,unspecified
9943,11,8327,1.0,1.0,unspecified
6019,11,7848,0.0,0.0,unspecified
6020,11,7848,0.0,0.0,unspecified
4926,11,7793,1.0,0.0,dissolved
241,11,7775,0.0,0.0,unspecified
9993,11,7623,1.0,0.0,dissolved
237,11,7544,0.0,0.0,unspecified
7434,11,7456,0.0,0.0,unspecified
6,11,7444,0.0,0.0,unspecified
4,11,7429,0.0,0.0,unspecified
7342,11,7421,0.0,0.0,unspecified
3428,11,7331,0.0,0.0,unspecified
664,11,7232,0.0,0.0,unspecified
207,11,6935,0.0,0.0,unspecified
211,11,6925,0.0,0.0,unspecified
7668,11,6652,0.0,0.0,unspecified
3976,11,6586,0.0,0.0,unspecified
9857,11,6582,1.0,0.0,dissolved
6059,11,6535,0.0,0.0,unspecified
6485,11,6517,1.0,0.0,dissolved
3377,11,6123,0.0,0.0,unspecified
3878,11,5969,0.0,0.0,unspecified
6063,11,5781,0.0,0.0,unspecified
6062,11,5769,0.0,0.0,unspecified
4821,11,5753,0.0,0.0,unspecified
6064,11,5752,0.0,0.0,unspecified
4822,11,5664,0.0,0.0,unspecified
4820,11,5610,0.0,0.0,unspecified
3169,11,5302,0.0,0.0,unspecified
3632,11,5183,0.0,0.0,unspecified
6396,11,5137,0.0,0.0,unspecified
177,11,4831,0.0,0.0,unspecified
9853,11,4716,1.0,0.0,dissolved
103,11,4715,1.0,0.0,dissolved
7044,11,4688,0.0,0.0,unspecified
8944,11,4609,0.0,0.0,unspecified
4925,11,4574,1.0,0.0,dissolved
3373,11,4177,0.0,0.0,unspecified
4994,11,3839,0.0,0.0,unspecified
3272,11,3637,0.0,0.0,unspecified
4574,11,3510,0.0,0.0,unspecified
6399,11,3415,0.0,0.0,unspecified
3781,11,3390,0.0,0.0,unspecified
6045,11,3390,1.0,0.0,dissolved
736,11,3313,0.0,0.0,unspecified
733,11,3273,0.0,0.0,unspecified
731,11,3228,0.0,0.0,unspecified
714,11,3227,0.0,0.0,unspecified
746,11,3226,0.0,0.0,unspecified
5732,11,3013,0.0,0.0,unspecified
6425,11,2875,0.0,1.0,total
3268,11,2705,0.0,0.0,unspecified
9190,11,2591,0.0,0.0,unspecified
1049,11,2552,0.0,0.0,unspecified
3784,11,2479,0.0,0.0,unspecified
105,11,2355,0.0,0.0,unspecified
72,11,2328,1.0,0.0,dissolved
499,11,2177,0.0,0.0,unspecified
9584,11,2062,0.0,0.0,unspecified
3386,11,2020,1.0,0.0,dissolved
9845,11,1933,0.0,0.0,unspecified
6716,11,1876,0.0,0.0,unspecified
555,11,1836,0.0,0.0,unspecified
175,11,1834,0.0,0.0,unspecified
6619,11,1823,1.0,0.0,dissolved
539,11,1820,0.0,0.0,unspecified
551,11,1817,0.0,0.0,unspecified
559,11,1812,0.0,0.0,unspecified
3328,11,1745,0.0,0.0,unspecified
3334,11,1742,0.0,0.0,unspecified
3299,11,1638,0.0,0.0,unspecified
4621,11,1620,0.0,0.0,unspecified
9011,11,1620,0.0,0.0,unspecified
9013,11,1620,0.0,0.0,unspecified
