notation,years_present,n,p_diss,p_total,suggested_fraction
111,10,62062,0.0,0.0,unspecified
61,10,57580,0.0,0.0,unspecified
135,10,51154,0.0,0.0,unspecified
118,10,50502,0.0,0.0,unspecified
76,10,47033,0.0,0.0,unspecified
117,10,46036,0.0,0.0,unspecified
85,10,45257,0.0,0.0,unspecified
116,10,35837,0.0,1.0,total
9901,10,35806,1.0,0.0,dissolved
77,10,35752,0.0,0.0,unspecified
180,10,34979,0.0,0.0,unspecified
9924,10,29794,1.0,0.0,dissolved
162,10,28369,0.0,0.0,unspecified
92,10,25633,0.0,0.0,unspecified
119,10,23349,0.0,0.0,unspecified
172,10,19258,0.0,0.0,unspecified
6460,10,17074,1.0,0.0,dissolved
301,10,16078,1.0,0.0,dissolved
3410,10,15489,1.0,0.0,dissolved
52,10,15480,1.0,0.0,dissolved
106,10,15175,1.0,0.0,dissolved
348,10,15009,0.0,1.0,total
3408,10,14746,1.0,0.0,dissolved
6450,10,14637,1.0,0.0,dissolved
239,10,14262,1.0,0.0,dissolved
7608,10,12683,0.0,0.0,unspecified
235,10,12497,1.0,0.0,dissolved
3409,10,11623,1.0,0.0,dissolved
6455,10,11066,0.0,0.0,unspecified
6051,10,10959,0.0,0.0,unspecified
6452,10,10672,0.0,0.0,unspecified
6458,10,10372,1.0,0.0,dissolved
108,10,10282,0.0,0.0,unspecified
50,10,9923,0.0,0.0,unspecified
6462,10,9379,0.0,0.0,unspecified
182,10,8332,0.0,0.0,unspecified
183,10,8257,0.0,0.0,unspecified
9686,10,8083,0.0,1.0,total
158,10,7976,0.0,1.0,total
6057,10,7844,0.0,0.0,unspecified
2348,10,7545,0.0,0.0,unspecified
6050,10,7450,0.0,0.0,unspecified
3722,10,7374,0.0,0.0,unspecified
3723,10,7374,0.0,0.0,unspecified
6037,10,7374,1.0,0.0,dissolved
3164,10,7347,0.0,0.0,unspecified
205,10,7181,1.0,0.0,dissolved
209,10,7170,1.0,0.0,dissolved
9447,10,7091,1.0,0.0,dissolved
7887,10,7049,0.0,0.0,unspecified
241,10,6670,0.0,0.0,unspecified
237,10,6468,0.0,0.0,unspecified
4201,10,6201,1.0,0.0,dissolved
9446,10,6201,1.0,0.0,dissolved
6693,10,6200,1.0,0.0,dissolved
207,10,5966,0.0,0.0,unspecified
211,10,5952,0.0,0.0,unspecified
9856,10,5895,1.0,0.0,dissolved
7859,10,5771,1.0,0.0,dissolved
4823,10,5719,0.0,0.0,unspecified
4824,10,5719,0.0,0.0,unspecified
4826,10,5719,0.0,0.0,unspecified
4827,10,5718,0.0,0.0,unspecified
9156,10,5717,0.0,0.0,unspecified
8046,10,5712,0.0,0.0,unspecified
9161,10,5710,0.0,0.0,unspecified
9691,10,5710,0.0,0.0,unspecified
