sampling_point_id,url,name,lat,lon,easting,northing,status,type,area,distance_to_source_km
NE-40000559,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-40000559.json,WASTE ADHOC - TYNESIDE HOUSE,49.891925,-0.609124,500000,3,open,WASTE SITE - UNSPECIFIED,Northumberland Durham and Tees,555.2738492723366
NE-400A0047,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-400A0047.json,"SCARGILL FARM, NR BARNARD CASTLE",54.490876,-1.922,405150,510620,open,GROUNDWATER - BOREHOLE,Northumberland Durham and Tees,39.39042581117366
NE-400A0137,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-400A0137.json,HURY FARM,54.579316,-2.06076,396170,520460,open,GROUNDWATER - SPRING,Northumberland Durham and Tees,26.265234002611578
NE-400B0164,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-400B0164.json,"HIGH PARK WALL FARM, RABY ESTATE",54.5724,-1.947213,403510,519690,open,GROUNDWATER - BOREHOLE,Northumberland Durham and Tees,31.24792466783859
NE-400B0165,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-400B0165.json,"HIGH HOUSE FARM, STREATLAM PARK",54.577829,-1.874651,408200,520300,open,GROUNDWATER - BOREHOLE,Northumberland Durham and Tees,34.133160211386844
NE-400B0171,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-400B0171.json,BALDERHEAD GROUNDWATER,54.553569,-2.120556,392300,517600,open,GROUNDWATER - WELLS & ADITS,Northumberland Durham and Tees,27.154935287082747
NE-400F0085,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-400F0085.json,NORTH TEES HOSPITAL SS62514,54.581509,-1.343959,442500,520900,closed,GROUNDWATER - BOREHOLE,Northumberland Durham and Tees,63.65693913477055
NE-400H0042,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-400H0042.json,"EAST HOUSE FARM, RABY ESTATE, KINNINVIE",54.606062,-1.924599,404968,523437,open,GROUNDWATER - BOREHOLE,Northumberland Durham and Tees,29.642696318795384
NE-400H0047,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-400H0047.json,"JUBILEE TROUT FARM, REDWORTH",54.60616,-1.654734,422400,523500,closed,GROUNDWATER - BOREHOLE,Northumberland Durham and Tees,44.191374107150395
NE-400H0049,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-400H0049.json,PAGE BANK RAW MINEWATER,54.716135,-1.641118,423217,535742,open,GROUNDWATER - BOREHOLE,Northumberland Durham and Tees,41.122518548545884
NE-400H0053,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-400H0053.json,HORDEN RAW MINEWATER,54.769628,-1.31434,444210,541851,open,GROUNDWATER - BOREHOLE,Northumberland Durham and Tees,61.41865032819568
NE-400H0066,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-400H0066.json,"LOW BUTTERKNOWLE, BISHOP AUCKLAND",54.619959,-1.795542,413300,525000,open,GROUNDWATER - BOREHOLE,Northumberland Durham and Tees,35.4866459467946
NE-400J0002,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-400J0002.json,"WORTS SPRING, NR UPLEATHAM",54.558718,-1.028405,462930,518600,open,GROUNDWATER - BOREHOLE,Northumberland Durham and Tees,83.70220044051784
NE-400J0008,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-400J0008.json,"AYTON WATER COMPANY, GREAT AYTON",54.488295,-1.103093,458200,510700,open,GROUNDWATER - BOREHOLE,Northumberland Durham and Tees,81.97813844280493
NE-400M0001,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-400M0001.json,"HUTTON FIELDS, HUTTON MAGNA",54.500433,-1.794285,413420,511700,open,GROUNDWATER - BOREHOLE,Northumberland Durham and Tees,43.833541037084665
NE-41000075,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-41000075.json,AD HOC SAMPLES IN AREA 210,49.891925,-0.609124,500000,3,open,MISCELLANEOUS ENVIRONMENT - UNSPECIFIED,Northumberland Durham and Tees,555.2738492723366
NE-42100010,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-42100010.json,AD HOC SAMPLES IN AREA 221,49.891925,-0.609124,500000,3,open,MISCELLANEOUS ENVIRONMENT - UNSPECIFIED,Northumberland Durham and Tees,555.2738492723366
NE-42200030,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-42200030.json,AD HOC SAMPLES IN AREA 222,49.891925,-0.609124,500000,3,open,MISCELLANEOUS ENVIRONMENT - UNSPECIFIED,Northumberland Durham and Tees,555.2738492723366
NE-42300075,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-42300075.json,AD HOC SAMPLES IN AREA 223,49.891925,-0.609124,500000,3,open,MISCELLANEOUS ENVIRONMENT - UNSPECIFIED,Northumberland Durham and Tees,555.2738492723366
NE-42400076,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-42400076.json,AD HOC SAMPLES IN AREA 224,49.891925,-0.609124,500000,3,open,MISCELLANEOUS ENVIRONMENT - UNSPECIFIED,Northumberland Durham and Tees,555.2738492723366
NE-42500010,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-42500010.json,AD HOC SAMPLES IN AREA 225,49.891925,-0.609124,500000,3,open,MISCELLANEOUS ENVIRONMENT - UNSPECIFIED,Northumberland Durham and Tees,555.2738492723366
NE-42600349,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-42600349.json,AD HOC SAMPLES IN AREA 226,49.891925,-0.609124,500000,3,open,MISCELLANEOUS ENVIRONMENT - UNSPECIFIED,Northumberland Durham and Tees,555.2738492723366
NE-43100126,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-43100126.json,AD HOC SAMPLES IN AREA 231,49.891925,-0.609124,500000,3,open,MISCELLANEOUS ENVIRONMENT - UNSPECIFIED,Northumberland Durham and Tees,555.2738492723366
NE-43200075,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-43200075.json,GARRIGILL STW,54.773203,-2.408476,373820,542110,open,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,Northumberland Durham and Tees,8.816720611363683
NE-43200226,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-43200226.json,AD HOC SAMPLES IN AREA 232,49.891925,-0.609124,500000,3,open,MISCELLANEOUS ENVIRONMENT - UNSPECIFIED,Northumberland Durham and Tees,555.2738492723366
NE-43300159,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-43300159.json,AD HOC SAMPLES IN AREA 233,49.891925,-0.609124,500000,3,open,MISCELLANEOUS ENVIRONMENT - UNSPECIFIED,Northumberland Durham and Tees,555.2738492723366
NE-43400181,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-43400181.json,AD HOC SAMPLES IN AREA 234,49.891925,-0.609124,500000,3,open,MISCELLANEOUS ENVIRONMENT - UNSPECIFIED,Northumberland Durham and Tees,555.2738492723366
NE-43500497,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-43500497.json,AD HOC SAMPLES IN AREA 235,49.891925,-0.609124,500000,3,open,MISCELLANEOUS ENVIRONMENT - UNSPECIFIED,Northumberland Durham and Tees,555.2738492723366
NE-44100007,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44100007.json,KILLHOPE BURN AT COWSHILL,54.759611,-2.228857,385370,540545,open,FRESHWATER - RIVERS,Northumberland Durham and Tees,3.6805519300469327
NE-44100016,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44100016.json,WEAR AT WEST MILLS DAM,54.661153,-1.692713,419920,529608,open,FRESHWATER - RIVERS,Northumberland Durham and Tees,39.525087885145176
NE-44100018,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44100018.json,WEAR AT WOLSINGHAM,54.726569,-1.885916,407445,536850,open,FRESHWATER - RIVERS,Northumberland Durham and Tees,25.50436539605573
NE-44100023,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44100023.json,WEAR AT STANHOPE,54.74765,-2.015728,399085,539190,closed,FRESHWATER - RIVERS,Northumberland Durham and Tees,16.8534981074528
NE-44100027,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44100027.json,WEAR AT EASTGATE,54.740892,-2.068147,395710,538440,open,FRESHWATER - RIVERS,Northumberland Durham and Tees,13.825363767648335
NE-44100032,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44100032.json,LOW WADSWORTH STW FINAL EFFLUENT,54.673294,-1.726736,417720,530950,open,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,Northumberland Durham and Tees,37.010793710304405
NE-44100063,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44100063.json,STANHOPE STW FINAL EFFLUENT,54.736732,-1.991419,400650,537975,open,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,Northumberland Durham and Tees,18.666182170899674
NE-44100071,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44100071.json,WESTERN AREA STW FINAL EFFLUENT,54.735998,-2.121098,392300,537900,open,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,Northumberland Durham and Tees,10.915672780090453
NE-44100089,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-44100089.json,ROOKHOPE BURN AT ROOKHOPE VILLAGE,54.780367,-2.098609,393755,542835,open,FRESHWATER - RIVERS,Northumberland Durham and Tees,11.10497038161059
