sampling_point,year_count
NE-40000559,13
NE-40000633,1
NE-40000659,2
NE-40000665,1
NE-400A0044,11
NE-400A0047,7
NE-400A0048,13
NE-400A0049,6
NE-400A0050,6
NE-400A0077,2
NE-400A0081,2
NE-400A0137,12
NE-400A0146,3
NE-400A0147,3
NE-400A0148,3
NE-400A0149,1
NE-400A0150,2
NE-400B0158,12
NE-400B0164,15
NE-400B0165,12
NE-400B0171,15
NE-400C0114,9
NE-400F0085,1
NE-400F0095,1
NE-400F0096,1
NE-400F0097,1
NE-400F0098,1
NE-400F0099,1
NE-400F0100,1
NE-400F0101,1
NE-400F0102,1
NE-400F0103,1
NE-400F0104,1
NE-400F0107,13
NE-400H0042,14
NE-400H0047,6
NE-400H0049,14
NE-400H0051,6
NE-400H0052,6
NE-400H0053,12
NE-400H0055,6
NE-400H0056,13
NE-400H0066,14
NE-400H0068,14
NE-400I0007,15
NE-400I0016,13
NE-400I0017,14
NE-400J0002,15
NE-400J0008,16
NE-400M0001,15
NE-400P0003,1
NE-400P0004,1
NE-400P0005,1
NE-400S0001,13
NE-41000002,5
NE-41000003,9
NE-41000017,3
NE-41000019,3
NE-41000023,2
NE-41000028,8
NE-41000032,16
NE-41000033,8
NE-41000035,16
NE-41000037,13
NE-41000038,16
NE-41000039,16
NE-41000040,5
NE-41000051,16
NE-41000052,16
NE-41000053,11
NE-41000059,10
NE-41000064,8
NE-41000068,4
NE-41000075,14
NE-41000079,16
NE-41000080,16
NE-41000083,15
NE-41000084,1
NE-41000088,14
NE-41000089,16
NE-41000093,16
NE-41000094,2
NE-41000098,16
NE-41000099,1
NE-41000103,1
NE-41000106,8
NE-41000107,2
NE-41000110,10
NE-41000111,2
NE-41000115,16
NE-41000118,2
NE-41000121,16
NE-41000124,6
NE-41000125,16
NE-41000128,1
NE-41000134,16
NE-41000137,1
NE-41000140,16
NE-41000143,1
NE-41000148,1
NE-41000150,3
NE-41000177,2
NE-41000185,3
NE-41000189,8
NE-41000204,1
NE-41000206,2
NE-41000213,10
NE-41000219,16
NE-41000220,1
NE-41000221,1
NE-41000222,2
NE-41000223,3
NE-41000224,3
NE-41000225,1
NE-41000227,2
NE-41000228,4
NE-41000229,2
NE-41000230,3
NE-41000231,1
NE-41000232,8
NE-41000234,1
NE-41000235,1
NE-41000254,7
NE-41000256,7
NE-41000257,1
NE-41000258,3
NE-41000259,4
NE-41000260,4
NE-41000261,3
NE-41000262,4
NE-41000263,4
NE-41000264,3
NE-41000266,2
NE-41000267,1
NE-41000268,7
NE-41000269,2
NE-41000270,2
NE-41000271,2
NE-41000273,2
NE-41000276,2
NE-41000291,16
NE-41000294,3
NE-41000296,1
NE-41000298,2
NE-41000301,4
NE-41000303,3
NE-41000305,11
NE-41000306,1
NE-41000308,7
NE-41000312,1
NE-41000313,1
NE-41000314,2
NE-41000338,2
NE-41000339,16
NE-41000344,1
NE-41000345,1
NE-41000346,3
NE-41000347,3
NE-41000348,8
NE-41000349,3
NE-41000350,15
NE-41000353,2
NE-41000354,6
NE-41000355,1
NE-41000357,4
NE-41000358,12
NE-41000359,2
NE-41000360,3
NE-41000361,5
NE-41000362,3
NE-41000365,2
NE-41000366,5
NE-41000367,3
NE-41000368,5
NE-41000369,16
NE-41000370,3
NE-41000371,8
NE-41000372,16
NE-41000374,16
NE-41000375,10
NE-41000376,16
NE-41000377,16
NE-41000379,2
NE-41000380,16
NE-41000381,16
NE-41000382,16
NE-41000383,5
NE-41000384,16
NE-41000385,2
NE-41000386,2
NE-41000387,2
NE-41000388,8
NE-41000389,4
NE-41000390,3
NE-41000391,13
NE-41000392,6
NE-41000393,6
NE-41000394,3
NE-41000395,7
NE-41000396,3
NE-41000397,4
NE-41000398,1
NE-41000399,1
NE-41000400,4
NE-41000401,9
NE-41000402,4
NE-41000403,4
NE-41000404,1
NE-41000405,2
NE-41000406,1
NE-41000407,1
NE-41000408,1
NE-41000409,2
NE-41000411,1
NE-41000412,9
NE-41000413,8
NE-41000416,4
NE-41000417,3
NE-41000418,3
NE-41000419,3
NE-41000420,3
NE-41000421,4
NE-41000422,1
NE-41000423,2
NE-41000424,3
NE-41000425,2
NE-41000426,3
NE-41000427,3
NE-41000428,2
NE-41000429,2
NE-41000430,2
NE-41000431,2
NE-41000434,1
NE-41000435,2
NE-41000436,2
NE-41000437,2
NE-41000438,2
NE-41000439,2
NE-41000440,3
NE-41000441,3
NE-41000442,3
NE-41000443,1
NE-41000444,4
NE-41000445,2
NE-41000446,2
NE-41000447,2
NE-41000448,4
NE-41000449,2
NE-41000450,2
NE-410A0001,2
NE-410F0238,14
NE-410F0239,14
NE-410F0242,13
NE-410F0243,14
NE-410F0248,13
NE-410F0250,14
NE-410F0251,13
NE-410F0252,13
NE-410F0254,2
NE-410F0255,14
NE-410F0256,12
NE-410F0258,14
NE-410F0259,12
NE-410F0260,13
NE-410F0261,11
NE-410F0263,2
NE-410F0264,5
NE-410P0001,8
NE-410P0002,1
NE-410P0003,1
NE-42100003,8
NE-42100004,10
NE-42100009,4
NE-42100010,16
NE-42100012,2
NE-42100013,7
NE-42100016,1
NE-42100017,12
NE-42100020,2
NE-42100025,1
NE-42100028,16
NE-42100038,8
NE-42100039,1
NE-42100042,4
NE-42100044,6
NE-42100048,2
NE-42100050,1
NE-42100051,2
NE-42100054,4
NE-42100055,2
NE-42100058,16
NE-42100066,16
NE-42100076,1
NE-42100092,16
NE-42100093,16
NE-42100094,16
NE-42100095,16
NE-42100100,9
NE-42100101,12
NE-42100105,9
NE-42100107,2
NE-42100108,2
NE-42100109,6
NE-42100110,14
NE-42100113,6
NE-42100115,3
NE-42100116,3
NE-42100118,3
NE-42100119,2
NE-42100123,4
NE-42100124,3
NE-42100125,2
NE-42100126,4
NE-42100127,1
NE-42100130,3
NE-42100131,4
NE-42100133,1
