sampling_point_id,url,name,lat,lon,easting,northing,status,type,area,distance_to_source_km
NE-40000559,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-40000559.json,WASTE ADHOC - TYNESIDE HOUSE,49.891925,-0.609124,500000,3,open,WASTE SITE - UNSPECIFIED,Northumberland Durham and Tees,555.2738492723366
NE-400A0044,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-400A0044.json,LOUGH HOUSE 1/22/5/50,55.199286,-1.738388,416750,589480,open,GROUNDWATER - BOREHOLE,Northumberland Durham and Tees,57.576152833918236
NE-400A0047,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-400A0047.json,"SCARGILL FARM, NR BARNARD CASTLE",54.490876,-1.922,405150,510620,open,GROUNDWATER - BOREHOLE,Northumberland Durham and Tees,39.39042581117366
NE-400A0048,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-400A0048.json,"WHITTLE RAW MINEWATER, HAZON",55.345042,-1.709694,418509,605708,open,GROUNDWATER - BOREHOLE,Northumberland Durham and Tees,72.15570399260764
NE-400A0049,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-400A0049.json,BLENKINSOPP RAW MINEWATER,54.97244,-2.517193,366990,564327,closed,GROUNDWATER - BOREHOLE,Northumberland Durham and Tees,26.39869207042496
NE-400A0050,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-400A0050.json,ACOMB RAW MINEWATER,54.989892,-2.117627,392571,566153,closed,GROUNDWATER - BOREHOLE,Northumberland Durham and Tees,25.173563741503038
NE-400A0137,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-400A0137.json,HURY FARM,54.579316,-2.06076,396170,520460,open,GROUNDWATER - SPRING,Northumberland Durham and Tees,26.265234002611578
NE-400B0158,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-400B0158.json,ABBEY WELL BH1,55.162455,-1.669097,421180,585400,open,GROUNDWATER - BOREHOLE,Northumberland Durham and Tees,57.21066913258591
NE-400B0164,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-400B0164.json,"HIGH PARK WALL FARM, RABY ESTATE",54.5724,-1.947213,403510,519690,open,GROUNDWATER - BOREHOLE,Northumberland Durham and Tees,31.24792466783859
NE-400B0165,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-400B0165.json,"HIGH HOUSE FARM, STREATLAM PARK",54.577829,-1.874651,408200,520300,open,GROUNDWATER - BOREHOLE,Northumberland Durham and Tees,34.133160211386844
NE-400B0171,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-400B0171.json,BALDERHEAD GROUNDWATER,54.553569,-2.120556,392300,517600,open,GROUNDWATER - WELLS & ADITS,Northumberland Durham and Tees,27.154935287082747
NE-400F0085,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-400F0085.json,NORTH TEES HOSPITAL SS62514,54.581509,-1.343959,442500,520900,closed,GROUNDWATER - BOREHOLE,Northumberland Durham and Tees,63.65693913477055
NE-400H0042,https://environment.data.gov.uk/water-quality/id/sampling-point/NE-400H0042.json,"EAST HOUSE FARM, RABY ESTATE, KINNINVIE",54.606062,-1.924599,404968,523437,open,GROUNDWATER - BOREHOLE,Northumberland Durham and Tees,29.642696318795384
