station,metal,fraction,slope,intercept,r2,p,n,rmse,mae,trend
NE-40000559,aluminium,,,,,,2,,,insufficient
NE-40000559,cadmium,,,,,,3,,,insufficient
NE-40000559,copper,,,,,,0,,,insufficient
NE-40000559,lead,,,,,,2,,,insufficient
NE-40000559,nickel,,,,,,2,,,insufficient
NE-40000559,zinc,,,,,,2,,,insufficient
NE-40000659,aluminium,,0.19317157202792568,1.8895409699064099,0.02638140156690927,0.10462927406399251,101,0.43383064769530694,0.34213686817578987,mobilisation
NE-40000659,cadmium,,-0.06382970242132442,-0.6449125877494069,0.003135626151661741,0.5612100283174228,110,0.42192328374254434,0.35959011507011207,chemostatic
NE-40000659,copper,,0.036509226675532955,0.04024515041759698,0.017055347710156377,0.17386513851992513,110,0.09746134049876545,0.07519237409252337,chemostatic
NE-40000659,iron,,0.030068003782298236,2.4471996710355906,0.0007200293648159661,0.7899594759848682,101,0.41454696652889506,0.3255844506216871,chemostatic
NE-40000659,lead,,0.10420687825188775,1.0336084966788823,0.004489027054543349,0.484748361335262,111,0.5729978074361524,0.47166127742175584,mobilisation
NE-40000659,nickel,,-0.011135161957513792,0.334637865096215,0.0002703201660895216,0.8640100807604393,111,0.2503541984085987,0.20937341197563808,chemostatic
NE-40000659,zinc,,-0.05656787556509375,1.710194333133353,0.001074198879305932,0.7327357360814768,111,0.6377499122268034,0.5397938188497977,chemostatic
NE-400A0044,aluminium,,,,,,3,,,insufficient
NE-400A0044,cadmium,,,,,,3,,,insufficient
NE-400A0044,copper,,,,,,1,,,insufficient
NE-400A0044,iron,,,,,,1,,,insufficient
NE-400A0044,lead,,,,,,3,,,insufficient
NE-400A0044,nickel,,,,,,3,,,insufficient
NE-400A0044,zinc,,,,,,1,,,insufficient
NE-400A0047,aluminium,,,,,,13,,,insufficient
NE-400A0047,cadmium,,,,,,13,,,insufficient
NE-400A0047,copper,,-0.011108046066164466,0.13647750582650126,0.0004044963135847457,0.9505320785056663,12,0.18129013238717587,0.16482902275007671,chemostatic
NE-400A0047,iron,,-0.05347069709039021,1.9317547639643333,0.0032724156156715978,0.8527402440635782,13,0.2959922986671119,0.26522144547902476,chemostatic
NE-400A0047,lead,,,,,,13,,,insufficient
NE-400A0047,nickel,,,,,,12,,,insufficient
NE-400A0047,zinc,,0.30965654341422433,0.9307248623258172,0.2716833593625527,0.1001318393339961,11,0.1477518443567128,0.12402914709887386,mobilisation
NE-400A0048,aluminium,,-0.010682001786954165,1.03297431579071,0.005594354205701091,0.837297280038221,10,0.04077395176075157,0.03461724317327941,chemostatic
NE-400A0048,cadmium,,,,,,11,,,insufficient
NE-400A0048,copper,,,,,,9,,,insufficient
NE-400A0048,iron,,,,,,9,,,insufficient
NE-400A0048,lead,,,,,,11,,,insufficient
NE-400A0048,nickel,,0.10299789812339293,0.022299409929676123,0.021756973813753078,0.6842673556600951,10,0.18477630067071826,0.10968071730628463,mobilisation
NE-400A0048,zinc,,-0.2751358591847646,1.1274164846753743,0.07153392703265016,0.4550213176379545,10,0.2837902891145362,0.2571532142723047,dilution
NE-400A0049,aluminium,,,,,,8,,,insufficient
NE-400A0049,cadmium,,,,,,9,,,insufficient
NE-400A0049,copper,,,,,,8,,,insufficient
NE-400A0049,iron,,,,,,8,,,insufficient
NE-400A0049,lead,,,,,,9,,,insufficient
NE-400A0049,nickel,,,,,,8,,,insufficient
