station,metal,fraction,slope,intercept,r2,p,n,trend
NE-40000559,aluminium,,,,,,2,insufficient
NE-40000559,cadmium,,,,,,4,insufficient
NE-40000559,copper,,,,,,1,insufficient
NE-40000559,lead,,,,,,3,insufficient
NE-40000559,nickel,,,,,,3,insufficient
NE-40000559,zinc,,,,,,3,insufficient
NE-40000659,aluminium,,0.12485509264671579,2.07008935585217,0.0231715306889958,0.12860133697276122,101,mobilisation
NE-40000659,cadmium,,-0.07224010888160007,-0.714626883487467,0.00943096475980476,0.30837898462407043,112,chemostatic
NE-40000659,copper,,0.01891873544299351,0.07058448936754733,0.011107308915976666,0.2687583488780327,112,chemostatic
NE-40000659,iron,,0.02714185435747847,2.479534920037133,0.0012328561263572624,0.7273994113523878,101,chemostatic
NE-40000659,lead,,0.03422427191857751,1.1128294091755053,0.0011460957169975305,0.7218599645938688,113,chemostatic
NE-40000659,nickel,,-0.025561507921721887,0.31172350744650956,0.0033375555996603135,0.5433200643677436,113,chemostatic
NE-40000659,zinc,,-0.08031032382808065,1.644322507610509,0.005082174846976928,0.4530463751457464,113,chemostatic
NE-400A0044,aluminium,,,,,,3,insufficient
NE-400A0044,cadmium,,,,,,3,insufficient
NE-400A0044,copper,,,,,,2,insufficient
NE-400A0044,iron,,,,,,1,insufficient
NE-400A0044,lead,,,,,,3,insufficient
NE-400A0044,nickel,,,,,,3,insufficient
NE-400A0044,zinc,,,,,,1,insufficient
NE-400A0047,aluminium,,,,,,13,insufficient
NE-400A0047,cadmium,,,,,,13,insufficient
NE-400A0047,copper,,-0.08495421117455773,0.07735672410490335,0.022418813027448303,0.6423204244692945,12,chemostatic
NE-400A0047,iron,,0.19817748837014237,2.034465492168261,0.042220382652819355,0.5006620919807856,13,mobilisation
NE-400A0047,lead,,,,,,13,insufficient
NE-400A0047,nickel,,,,,,12,insufficient
NE-400A0047,zinc,,0.25751330069321504,1.2224019340964234,0.20637237369625028,0.16041816233233247,11,mobilisation
NE-400A0048,aluminium,,-0.030138659370266274,1.0062444205255103,0.05431029025508438,0.5170087349804997,10,chemostatic
NE-400A0048,cadmium,,,,,,11,insufficient
NE-400A0048,copper,,,,,,9,insufficient
NE-400A0048,iron,,,,,,9,insufficient
NE-400A0048,lead,,,,,,11,insufficient
NE-400A0048,nickel,,-0.2004042118873073,-0.0330166198586122,0.10636178522813322,0.3577472985239281,10,dilution
NE-400A0048,zinc,,0.29625069023977846,1.1786252912178314,0.1309045458458794,0.3042675423011295,10,mobilisation
NE-400A0049,aluminium,,,,,,9,insufficient
NE-400A0049,cadmium,,,,,,9,insufficient
NE-400A0049,copper,,,,,,8,insufficient
NE-400A0049,iron,,,,,,8,insufficient
NE-400A0049,lead,,,,,,9,insufficient
NE-400A0049,nickel,,,,,,8,insufficient
NE-400A0049,zinc,,,,,,8,insufficient
NE-400A0050,aluminium,,,,,,8,insufficient
NE-400A0050,cadmium,,,,,,9,insufficient
NE-400A0050,copper,,,,,,8,insufficient
NE-400A0050,iron,,,,,,7,insufficient
NE-400A0050,lead,,,,,,9,insufficient
NE-400A0050,nickel,,,,,,8,insufficient
NE-400A0050,zinc,,,,,,7,insufficient
NE-400A0137,aluminium,,0.8899142161157533,2.1565777958712964,0.3863786841083606,0.023332211039666827,13,mobilisation
NE-400A0137,cadmium,,0.06997883602767763,-0.9128191402257668,0.036270427451567944,0.5142948823224689,14,chemostatic
NE-400A0137,copper,,0.11167204535893906,0.11460628940072773,0.09653258472521076,0.279616733315515,14,mobilisation
NE-400A0137,iron,,0.4389806843233701,1.9754317024364223,0.17115340099167442,0.1414350832723783,14,mobilisation
NE-400A0137,lead,,,,,,14,insufficient
NE-400A0137,nickel,,0.30701282192705437,0.6618002410889373,0.25693432176205055,0.06433171405039388,14,mobilisation
NE-400A0137,zinc,,0.351381711562639,1.127789672057238,0.1687520260047206,0.14454166521049985,14,mobilisation
NE-400B0158,aluminium,,,,,,4,insufficient
NE-400B0158,cadmium,,,,,,4,insufficient
NE-400B0158,copper,,,,,,4,insufficient
NE-400B0158,iron,,,,,,3,insufficient
NE-400B0158,lead,,,,,,4,insufficient
NE-400B0158,nickel,,,,,,4,insufficient
NE-400B0158,zinc,,,,,,4,insufficient
NE-400B0164,aluminium,,-0.17097824202060685,1.073984004943869,0.01866603906190245,0.6138811729777771,16,dilution
NE-400B0164,cadmium,,,,,,17,insufficient
NE-400B0164,copper,,,,,,17,insufficient
NE-400B0164,iron,,-0.2056735887124615,1.464394586210597,0.033130714584471255,0.4998759595711004,16,dilution
NE-400B0164,lead,,,,,,17,insufficient
NE-400B0164,nickel,,-0.017801963825138212,0.00030369065629406127,0.005818375006891863,0.7710731096520472,17,chemostatic
NE-400B0164,zinc,,-0.13471469347610923,0.7185415036437304,0.017210986486190794,0.615744848063647,17,dilution
NE-400B0165,aluminium,,,,,,14,insufficient
NE-400B0165,cadmium,,,,,,15,insufficient
NE-400B0165,copper,,0.6032494731338454,0.8380593711626598,0.18235296656904054,0.12779457306636186,14,mobilisation
NE-400B0165,iron,,0.0056804005695945126,1.490875128698009,0.005837276144618264,0.7951753120766016,14,chemostatic
NE-400B0165,lead,,0.2287221022876208,0.4970175200571707,0.4552725998251337,0.008115935618162883,14,mobilisation
NE-400B0165,nickel,,0.23469232164989207,0.20228682194015762,0.21767589613470373,0.09261942967053122,14,mobilisation
NE-400B0165,zinc,,0.09228705484807176,2.193366295074121,0.10625893351189752,0.27706801809273307,13,chemostatic
NE-400B0171,aluminium,,0.028264498680336203,1.909437719572093,0.0051795290159143414,0.7911120880960887,16,chemostatic
NE-400B0171,cadmium,,,,,,18,insufficient
NE-400B0171,copper,,-0.024145343156970422,-0.0009539350624657504,0.004673329878024601,0.7943256180570651,17,chemostatic
NE-400B0171,iron,,-0.1880290486750904,1.4849380099248388,0.015322761597790113,0.6359768373664059,17,dilution
NE-400B0171,lead,,,,,,18,insufficient
NE-400B0171,nickel,,0.12717689318291645,0.7090138346496023,0.027929111126785533,0.5361600649228035,16,mobilisation
NE-400B0171,zinc,,0.12769787069997934,1.1595305953524673,0.11054002185947587,0.20832166497814464,16,mobilisation
NE-400C0114,aluminium,,,,,,7,insufficient
NE-400C0114,cadmium,,,,,,7,insufficient
NE-400C0114,copper,,,,,,7,insufficient
NE-400C0114,iron,,,,,,7,insufficient
NE-400C0114,lead,,,,,,7,insufficient
NE-400C0114,nickel,,,,,,7,insufficient
NE-400C0114,zinc,,,,,,7,insufficient
NE-400F0095,aluminium,,,,,,1,insufficient
NE-400F0095,cadmium,,,,,,1,insufficient
NE-400F0095,copper,,,,,,1,insufficient
NE-400F0095,iron,,,,,,1,insufficient
NE-400F0095,lead,,,,,,1,insufficient
NE-400F0095,nickel,,,,,,1,insufficient
NE-400F0095,zinc,,,,,,1,insufficient
NE-400F0096,aluminium,,,,,,1,insufficient
NE-400F0096,cadmium,,,,,,1,insufficient
NE-400F0096,copper,,,,,,1,insufficient
NE-400F0096,iron,,,,,,1,insufficient
NE-400F0096,lead,,,,,,1,insufficient
NE-400F0096,nickel,,,,,,1,insufficient
NE-400F0096,zinc,,,,,,1,insufficient
NE-400F0097,aluminium,,,,,,1,insufficient
NE-400F0097,cadmium,,,,,,1,insufficient
NE-400F0097,copper,,,,,,1,insufficient
NE-400F0097,iron,,,,,,1,insufficient
NE-400F0097,lead,,,,,,1,insufficient
NE-400F0097,nickel,,,,,,1,insufficient
NE-400F0097,zinc,,,,,,1,insufficient
NE-400F0098,aluminium,,,,,,1,insufficient
NE-400F0098,cadmium,,,,,,1,insufficient
NE-400F0098,copper,,,,,,1,insufficient
NE-400F0098,iron,,,,,,1,insufficient
NE-400F0098,lead,,,,,,1,insufficient
NE-400F0098,nickel,,,,,,1,insufficient
NE-400F0098,zinc,,,,,,1,insufficient
NE-400F0099,aluminium,,,,,,1,insufficient
NE-400F0099,cadmium,,,,,,1,insufficient
NE-400F0099,copper,,,,,,1,insufficient
NE-400F0099,iron,,,,,,1,insufficient
NE-400F0099,lead,,,,,,1,insufficient
NE-400F0099,nickel,,,,,,1,insufficient
NE-400F0099,zinc,,,,,,1,insufficient
NE-400F0100,aluminium,,,,,,1,insufficient
NE-400F0100,cadmium,,,,,,1,insufficient
NE-400F0100,copper,,,,,,1,insufficient
NE-400F0100,iron,,,,,,1,insufficient
NE-400F0100,lead,,,,,,1,insufficient
NE-400F0100,nickel,,,,,,1,insufficient
NE-400F0100,zinc,,,,,,1,insufficient
NE-400F0101,aluminium,,,,,,1,insufficient
NE-400F0101,cadmium,,,,,,1,insufficient
NE-400F0101,copper,,,,,,1,insufficient
NE-400F0101,iron,,,,,,1,insufficient
NE-400F0101,lead,,,,,,1,insufficient
NE-400F0101,nickel,,,,,,1,insufficient
NE-400F0101,zinc,,,,,,1,insufficient
NE-400F0102,aluminium,,,,,,1,insufficient
NE-400F0102,cadmium,,,,,,1,insufficient
NE-400F0102,copper,,,,,,1,insufficient
NE-400F0102,iron,,,,,,1,insufficient
NE-400F0102,lead,,,,,,1,insufficient
NE-400F0102,nickel,,,,,,1,insufficient
NE-400F0102,zinc,,,,,,1,insufficient
NE-400F0103,aluminium,,,,,,1,insufficient
NE-400F0103,cadmium,,,,,,1,insufficient
NE-400F0103,copper,,,,,,1,insufficient
NE-400F0103,iron,,,,,,1,insufficient
NE-400F0103,lead,,,,,,1,insufficient
NE-400F0103,nickel,,,,,,1,insufficient
NE-400F0103,zinc,,,,,,1,insufficient
NE-400F0104,aluminium,,,,,,1,insufficient
NE-400F0104,cadmium,,,,,,1,insufficient
NE-400F0104,copper,,,,,,1,insufficient
NE-400F0104,iron,,,,,,1,insufficient
NE-400F0104,lead,,,,,,1,insufficient
NE-400F0104,nickel,,,,,,1,insufficient
NE-400F0104,zinc,,,,,,1,insufficient
NE-400F0107,aluminium,,-0.008454439066110986,1.001407094805678,0.03703912087182459,0.570754920308817,11,chemostatic
NE-400F0107,cadmium,,,,,,12,insufficient
NE-400F0107,copper,,0.08065335773848495,0.1977611078176433,0.038442180966411166,0.5634062519320601,11,chemostatic
NE-400F0107,iron,,0.06509619424245883,3.716373206637829,0.052784789422420264,0.5231219681066419,10,chemostatic
NE-400F0107,lead,,,,,,12,insufficient
NE-400F0107,nickel,,,,,,12,insufficient
NE-400F0107,zinc,,0.12402223407874152,1.5967525433261391,0.07061175370205874,0.4296627967974338,11,mobilisation
NE-400H0042,aluminium,,0.3102650477750828,1.428078516613446,0.1638779303001685,0.13444868961826292,15,mobilisation
NE-400H0042,cadmium,,0.019771966625257487,-0.9689179064533602,0.055727001757118866,0.3969791769327333,15,chemostatic
NE-400H0042,copper,,-0.027098362636351014,0.9462623406035593,0.0031903801318600156,0.8545799125177089,13,chemostatic
NE-400H0042,iron,,0.49352427666066867,2.6393830993292444,0.32828831863224917,0.04067541128594861,13,mobilisation
NE-400H0042,lead,,0.3988831473027058,0.7041659305227902,0.49392509741829227,0.005057364730922075,14,mobilisation
NE-400H0042,nickel,,0.05221544000562952,0.14295343135686325,0.05575664671373781,0.41637351405921463,14,chemostatic
NE-400H0042,zinc,,0.1371970860321996,1.4663878015946357,0.29559809102790513,0.05478896735815439,13,mobilisation
NE-400H0047,aluminium,,,,,,15,insufficient
NE-400H0047,cadmium,,,,,,16,insufficient
NE-400H0047,copper,,0.4611692144103403,1.2209715601961724,0.4403026641721144,0.009672047612916774,14,mobilisation
NE-400H0047,iron,,0.34721271280047117,2.075080694608806,0.09232838297903856,0.25256410059714984,16,mobilisation
NE-400H0047,lead,,,,,,16,insufficient
NE-400H0047,nickel,,,,,,16,insufficient
NE-400H0047,zinc,,0.04876788682993836,0.9375645501533609,0.004795016132265406,0.8062894538022725,15,chemostatic
NE-400H0049,aluminium,,,,,,12,insufficient
NE-400H0049,cadmium,,,,,,12,insufficient
NE-400H0049,copper,,-0.3674227789148161,-0.19138167879830043,0.07472614115909304,0.41601674034507996,11,dilution
NE-400H0049,iron,,0.04426774698542513,3.1617672417557907,0.0740360281807575,0.4469347300135307,10,chemostatic
NE-400H0049,lead,,,,,,12,insufficient
NE-400H0049,nickel,,-0.07607935058459114,0.9647631415446565,0.10916633321961511,0.35110990117304225,10,chemostatic
NE-400H0049,zinc,,-0.6520252758013203,0.424249618408446,0.18814820769877072,0.1825726602624379,11,dilution
NE-400H0051,aluminium,,,,,,7,insufficient
NE-400H0051,cadmium,,,,,,8,insufficient
NE-400H0051,copper,,,,,,7,insufficient
NE-400H0051,iron,,,,,,6,insufficient
NE-400H0051,lead,,,,,,8,insufficient
NE-400H0051,nickel,,,,,,6,insufficient
